WIFI;0.143;1692.418;Modern Free;50:da:00:df:99:e3;-77
WIFI;0.143;1692.418;bmp;50:da:00:df:99:e2;-77
WIFI;0.143;1692.418;guest;50:da:00:df:99:e1;-77
WIFI;0.143;1692.418;Mobile;50:da:00:df:99:e0;-77
WIFI;0.143;1692.418;Modern Free;ac:74:09:25:ff:83;-64
WIFI;0.143;1692.418;bmp;ac:74:09:25:ff:82;-64
WIFI;0.143;1692.418;guest;ac:74:09:25:ff:81;-64
WIFI;0.143;1692.418;Mobile;ac:74:09:25:ff:80;-64
WIFI;0.143;1692.418;bmp;74:85:c4:09:0d:02;-84
WIFI;0.143;1692.418;guest;74:85:c4:09:0d:01;-85
WIFI;0.143;1692.418;Mobile;74:85:c4:09:0d:00;-86
WIFI;0.143;1692.418;Modern Free;74:85:c4:09:38:c3;-90
WIFI;0.143;1692.418;当代MOZEN;b0:d5:9d:94:e8:26;-83
WIFI;0.143;1692.418;;b0:d5:9d:46:a0:88;-80
WIFI;0.143;1692.418;Modern Free;ac:74:09:25:b8:03;-78
WIFI;0.143;1692.418;bmp;ac:74:09:25:b8:02;-77
WIFI;0.143;1692.418;guest;ac:74:09:25:b8:01;-77
WIFI;0.143;1692.418;Mobile;ac:74:09:25:b8:00;-77
WIFI;0.143;1692.418;Modern Free;50:da:00:df:9a:03;-80
WIFI;0.143;1692.418;bmp;50:da:00:df:9a:02;-77
WIFI;0.143;1692.418;guest;50:da:00:df:9a:01;-77
WIFI;0.143;1692.418;Mobile;50:da:00:df:9a:00;-76
WIFI;0.143;1692.418;ChinaUnicom;fe:ff:ff:c0:68:80;-43
WIFI;0.143;1692.418;ChinaUnicom;fe:ff:ff:c0:6a:80;-70
WIFI;0.143;1692.418;Modern Free;00:23:89:a7:63:93;-61
WIFI;0.143;1692.418;bmp;74:85:c4:09:4a:52;-64
WIFI;0.143;1692.418;bmp;00:23:89:a7:63:92;-58
WIFI;0.143;1692.418;guest;00:23:89:a7:63:91;-60
WIFI;0.143;1692.418;Mobile;00:23:89:a7:63:90;-61
WIFI;0.143;1690.959;Modern Free;3c:f5:cc:82:f0:13;-76
WIFI;0.143;1690.959;Mobile;3c:f5:cc:82:f0:10;-84
WIFI;0.143;1690.959;maancoffee;e4:95:6e:40:d5:e6;-72
WIFI;0.143;1690.959;HUAWEI-B315-2B76;98:9c:57:6c:2b:76;-81
WIFI;0.143;1690.959;SRWS-FREE;e4:95:6e:40:d5:e6;-69
WIFI;0.143;1690.959;海淀无线网;00:34:cb:64:29:7e;-77
WIFI;0.143;1690.959;Modern Free;58:66:ba:2b:c9:83;-89
WIFI;0.143;1690.959;Modern Free;74:85:c4:09:4a:53;-63
WIFI;0.143;1690.959;guest;74:85:c4:09:4a:51;-64
WIFI;0.143;1690.959;Mobile;74:85:c4:09:4a:50;-62
WIFI;0.143;1690.959;1ST;84:b8:02:4b:41:f1;-82
WIFI;0.143;1688.783;海淀无线网;00:34:cb:b8:f5:ee;-75
WIFI;0.143;1688.783;GST_58b3fc8c5936;58:b3:fc:8c:59:36;-73
MAGN;0.187;1696.225;-6.93750;-40.37500;-17.25000;3
ACCE;0.187;1696.223;0.40079;5.29656;8.02605;3
GYRO;0.187;1696.221;-0.07063;0.01178;0.01026;3
AHRS;0.188;1696.223;31.7042;0.3762;-162.1083;-0.04560;0.26934;0.95012;3
LIGH;0.188;1696.235;328.8;3
MAGN;0.188;1696.245;-6.93750;-40.37500;-17.62500;3
ACCE;0.188;1696.243;0.52161;5.32732;8.02697;3
GYRO;0.188;1696.241;-0.08212;0.08208;-0.01316;3
AHRS;0.188;1696.243;31.6205;0.3827;-162.0923;-0.04558;0.26863;0.95030;3
MAGN;0.196;1696.265;-7.12500;-40.37500;-17.56250;3
ACCE;0.197;1696.263;0.47311;5.31640;8.17491;3
GYRO;0.197;1696.261;-0.08093;0.10910;-0.02269;3
AHRS;0.212;1696.263;31.5323;0.4808;-162.1088;-0.04624;0.26778;0.95049;3
MAGN;0.212;1696.285;-7.00000;-40.43750;-17.68750;3
ACCE;0.242;1696.283;0.34979;5.30780;8.17479;3
GYRO;0.243;1696.281;-0.09741;0.06250;-0.03011;3
PRES;0.243;1696.285;1006.3589;3
AHRS;0.243;1696.283;31.4362;0.6287;-162.1401;-0.04727;0.26680;0.95069;3
MAGN;0.243;1696.305;-7.00000;-40.50000;-17.75000;3
ACCE;0.243;1696.303;0.22632;5.30116;8.20549;3
GYRO;0.243;1696.301;-0.15378;-0.01061;-0.03337;3
AHRS;0.243;1696.303;31.3311;0.7164;-162.1775;-0.04777;0.26583;0.95095;3
MAGN;0.262;1696.325;-7.12500;-40.37500;-18.43750;3
ACCE;0.263;1696.323;0.23073;5.28441;8.49282;3
GYRO;0.264;1696.321;-0.17069;-0.06999;-0.02264;3
AHRS;0.265;1696.323;31.1471;0.7271;-162.2223;-0.04752;0.26430;0.95143;3
MAGN;0.273;1696.345;-7.12500;-40.37500;-18.43750;3
ACCE;0.275;1696.342;0.32575;5.30106;8.61867;3
GYRO;0.276;1696.341;-0.11805;-0.07482;-0.01456;3
